,Actual Load
2025-01-01 00:00:00+01:00,48899.61
2025-01-01 00:15:00+01:00,48018.91
2025-01-01 00:30:00+01:00,48048.26
2025-01-01 00:45:00+01:00,47918.9
2025-01-01 01:00:00+01:00,47667.03
2025-01-01 01:15:00+01:00,47390.29
2025-01-01 01:30:00+01:00,47275.44
2025-01-01 01:45:00+01:00,46980.15
2025-01-01 02:00:00+01:00,46687.66
2025-01-01 02:15:00+01:00,46309.86
2025-01-01 02:30:00+01:00,46082.62
2025-01-01 02:45:00+01:00,45894.49
2025-01-01 03:00:00+01:00,45329.16
2025-01-01 03:15:00+01:00,45311.03
2025-01-01 03:30:00+01:00,44817.7
2025-01-01 03:45:00+01:00,44749.26
2025-01-01 04:00:00+01:00,44161.59
2025-01-01 04:15:00+01:00,44235.59
2025-01-01 04:30:00+01:00,44005.44
2025-01-01 04:45:00+01:00,43788.21
2025-01-01 05:00:00+01:00,44416.46
2025-01-01 05:15:00+01:00,44258.82
2025-01-01 05:30:00+01:00,44218.8
2025-01-01 05:45:00+01:00,44149.71
2025-01-01 06:00:00+01:00,43836.8
2025-01-01 06:15:00+01:00,43598.88
2025-01-01 06:30:00+01:00,43578.38
2025-01-01 06:45:00+01:00,43415.44
2025-01-01 07:00:00+01:00,43645.45
2025-01-01 07:15:00+01:00,43945.55
2025-01-01 07:30:00+01:00,44073.66
2025-01-01 07:45:00+01:00,44225.36
2025-01-01 08:00:00+01:00,45529.98
2025-01-01 08:15:00+01:00,46027.12
2025-01-01 08:30:00+01:00,46244.98
2025-01-01 08:45:00+01:00,46647.24
2025-01-01 09:00:00+01:00,47350.81
2025-01-01 09:15:00+01:00,47799.15
2025-01-01 09:30:00+01:00,48307.22
2025-01-01 09:45:00+01:00,49104.5
2025-01-01 10:00:00+01:00,49838.42
2025-01-01 10:15:00+01:00,50394.77
2025-01-01 10:30:00+01:00,50682.46
2025-01-01 10:45:00+01:00,51345.2
2025-01-01 11:00:00+01:00,51941.84
2025-01-01 11:15:00+01:00,52481.4
2025-01-01 11:30:00+01:00,52896.73
2025-01-01 11:45:00+01:00,53029.77
2025-01-01 12:00:00+01:00,53587.95
2025-01-01 12:15:00+01:00,53597.0
2025-01-01 12:30:00+01:00,53642.01
2025-01-01 12:45:00+01:00,53748.9
2025-01-01 13:00:00+01:00,53331.12
2025-01-01 13:15:00+01:00,52326.86
2025-01-01 13:30:00+01:00,52063.63
2025-01-01 13:45:00+01:00,51783.03
2025-01-01 14:00:00+01:00,51544.53
2025-01-01 14:15:00+01:00,51212.07
2025-01-01 14:30:00+01:00,51146.61
2025-01-01 14:45:00+01:00,51156.98
2025-01-01 15:00:00+01:00,52151.92
2025-01-01 15:15:00+01:00,52192.48
2025-01-01 15:30:00+01:00,52282.54
2025-01-01 15:45:00+01:00,52699.94
2025-01-01 16:00:00+01:00,53307.96
2025-01-01 16:15:00+01:00,53774.25
2025-01-01 16:30:00+01:00,54721.25
2025-01-01 16:45:00+01:00,55951.11
2025-01-01 17:00:00+01:00,55625.1
2025-01-01 17:15:00+01:00,56061.3
2025-01-01 17:30:00+01:00,56596.03
2025-01-01 17:45:00+01:00,56951.15
2025-01-01 18:00:00+01:00,57033.78
2025-01-01 18:15:00+01:00,56602.75
2025-01-01 18:30:00+01:00,56392.64
2025-01-01 18:45:00+01:00,55841.28
2025-01-01 19:00:00+01:00,55985.21
2025-01-01 19:15:00+01:00,55403.67
2025-01-01 19:30:00+01:00,55228.42
2025-01-01 19:45:00+01:00,54552.95
2025-01-01 20:00:00+01:00,53754.08
2025-01-01 20:15:00+01:00,53491.22
2025-01-01 20:30:00+01:00,52858.66
2025-01-01 20:45:00+01:00,52074.72
2025-01-01 21:00:00+01:00,52034.79
2025-01-01 21:15:00+01:00,51569.79
2025-01-01 21:30:00+01:00,50853.98
2025-01-01 21:45:00+01:00,50263.85
2025-01-01 22:00:00+01:00,49945.39
2025-01-01 22:15:00+01:00,49688.93
2025-01-01 22:30:00+01:00,48807.22
2025-01-01 22:45:00+01:00,47887.02
2025-01-01 23:00:00+01:00,47561.74
2025-01-01 23:15:00+01:00,47255.18
2025-01-01 23:30:00+01:00,45914.34
2025-01-01 23:45:00+01:00,45122.11
2025-01-02 00:00:00+01:00,45318.29
2025-01-02 00:15:00+01:00,45061.48
2025-01-02 00:30:00+01:00,44118.45
2025-01-02 00:45:00+01:00,43669.7
2025-01-02 01:00:00+01:00,42758.12
2025-01-02 01:15:00+01:00,42553.66
2025-01-02 01:30:00+01:00,42363.51
2025-01-02 01:45:00+01:00,42219.42
2025-01-02 02:00:00+01:00,41688.94
2025-01-02 02:15:00+01:00,41675.94
2025-01-02 02:30:00+01:00,41473.05
2025-01-02 02:45:00+01:00,41745.07
2025-01-02 03:00:00+01:00,41402.3
2025-01-02 03:15:00+01:00,41952.85
2025-01-02 03:30:00+01:00,42150.3
2025-01-02 03:45:00+01:00,42322.86
2025-01-02 04:00:00+01:00,42486.6
2025-01-02 04:15:00+01:00,42030.54
2025-01-02 04:30:00+01:00,42338.23
2025-01-02 04:45:00+01:00,43061.18
2025-01-02 05:00:00+01:00,43210.2
